capability,n_states,pearson_r,pearson_p,spearman_rho,spearman_p
SETTINGOP,51,-0.079,0.583,-0.35,0.012
SETTINGDTPH,51,-0.03,0.835,0.089,0.533
SETTINGRC,51,0.023,0.875,0.07,0.627
SETTINGIP,51,-0.223,0.116,-0.25,0.077
MHSUICIDE,51,-0.342,0.014,-0.369,0.008
SMISEDSUD_MH,51,-0.004,0.976,-0.317,0.023
PRIMARYCARE,51,0.132,0.357,0.098,0.492
