state,capability,n_yes,n_total,percentage,ci_low,ci_high
AZ,SETTINGOP,367,466,78.8,74.8,82.2
AZ,SETTINGDTPH,61,466,13.1,10.3,16.5
AZ,SETTINGRC,106,466,22.7,19.2,26.8
AZ,SETTINGIP,35,466,7.5,5.4,10.3
AZ,MHSUICIDE,330,466,70.8,66.5,74.8
AZ,SMISEDSUD_MH,408,466,87.6,84.2,90.2
AZ,PRIMARYCARE,186,466,39.9,35.6,44.4
